id,date,sumsshr,sumgsr,hr1maxicsr,avgta,avgpa,avgps
0,2017-01-01,9.2,10.63,1.81,6.5,1018.6,1027.3
1,2017-01-02,8.9,10.12,1.71,9.5,1013,1021.5
2,2017-01-03,9.1,11.13,1.8,7.9,1013.8,1022.4
3,2017-01-04,8,8.79,1.72,8.1,1013.9,1022.4
4,2017-01-05,2.6,5.33,1.43,7.8,1017.5,1026.1
5,2017-01-06,6.8,9.2,2.09,7.5,1017.8,1026.4
6,2017-01-07,2.9,6.57,1.19,8.7,1012.1,1020.6
7,2017-01-08,1.9,4.85,0.84,9.3,1003.9,1012.4
8,2017-01-09,8.9,9.34,1.66,7.3,1005.5,1014
9,2017-01-10,9.4,11.83,1.93,3.5,1011.3,1020
10,2017-01-11,9.4,11.31,2,1.1,1014.6,1023.3
11,2017-01-12,7.3,9.43,1.84,3.9,1008,1016.6
12,2017-01-13,7.5,10.09,1.78,1.5,1006.4,1015.2
13,2017-01-14,9.5,12.72,2,-2.4,1011.8,1020.7
14,2017-01-15,9.7,12.91,2,-1.5,1015.4,1024.3
15,2017-01-16,9.7,12.5,1.98,1.4,1017.9,1026.7
16,2017-01-17,6,8.79,1.65,4.4,1021.3,1030.1
17,2017-01-18,5.7,8.14,1.51,5.3,1019.1,1027.7
18,2017-01-19,8.6,8.78,1.55,4.9,1013.1,1021.8
19,2017-01-20,8.7,10.92,1.88,2.1,1009.5,1018.2
20,2017-01-21,8.5,10.66,1.72,0,1016.9,1025.7
21,2017-01-22,9.4,12.51,2.06,0.6,1014.9,1023.7
22,2017-01-23,9.8,13.18,2.12,-2.5,1019.1,1028
23,2017-01-24,10,13.62,2.17,-1.1,1022.4,1031.3
24,2017-01-25,9.9,13.81,2.22,1.2,1022.8,1031.7
25,2017-01-26,9.8,13.59,2.2,3.8,1018.4,1027.1
26,2017-01-27,6.4,10.86,2.14,7.2,1015.3,1023.9
27,2017-01-28,9.6,13.38,2.17,6.5,1016.9,1025.5
28,2017-01-29,0,0.99,0.14,8,1008.5,1017
29,2017-01-30,9.4,12.27,2.09,3.3,1011.5,1020.2
30,2017-01-31,9.2,11.75,1.95,3.1,1016.9,1025.6
31,2017-02-01,5.5,9.62,2.12,2.3,1015.9,1024.6
32,2017-02-02,10.3,15.21,2.26,3.4,1017.5,1026.3
33,2017-02-03,10.1,14.33,2.19,5.5,1015.7,1024.4
34,2017-02-04,6.9,12.19,2.05,9.5,1011.1,1019.6
35,2017-02-05,3.2,6.83,1.6,7.3,1002.7,1011.1
36,2017-02-06,10,15.03,2.33,4,1010.1,1018.7
37,2017-02-07,6.2,10.98,2.09,4.4,1014.7,1023.3
38,2017-02-08,0.2,6.93,1.12,6.1,1007.9,1016.4
39,2017-02-09,9.9,15.36,2.4,1,1002.2,1010.9
40,2017-02-10,10.3,16.07,2.41,-1.5,1006.3,1015.1
41,2017-02-11,10.4,16.18,2.45,-0.5,1013.1,1021.9
42,2017-02-12,10.5,16.83,2.5,2.2,1017.8,1026.6
43,2017-02-13,10.1,14.84,2.36,4.7,1020.6,1029.3
44,2017-02-14,10.2,15.77,2.46,5.5,1022.2,1030.9
45,2017-02-15,10.4,16.2,2.52,7.3,1020.2,1028.9
46,2017-02-16,9.1,13.38,2.19,11.7,1012.7,1021.1
47,2017-02-17,9.5,13.57,2.06,12.1,1008.1,1016.4
48,2017-02-18,10.1,17.52,2.68,4,1013.4,1022.1
49,2017-02-19,9.9,15.99,2.54,6.7,1009.6,1018.1
50,2017-02-20,6.8,12.55,2.44,9.4,1003.6,1012
51,2017-02-21,10.1,15.65,2.52,5.2,1020.3,1029
52,2017-02-22,0,1.42,0.34,8.2,1006.1,1014.6
53,2017-02-23,9.2,16.85,2.68,5.4,1005.6,1014.2
54,2017-02-24,10,18.43,2.76,2.8,1013.3,1022
55,2017-02-25,10.4,17.53,2.68,5.7,1012.9,1021.5
56,2017-02-26,8.2,14.67,2.42,6.4,1015,1023.6
57,2017-02-27,7.9,12.6,2.03,7.5,1017.6,1026.2
58,2017-02-28,10.7,17.68,2.7,8.8,1015.8,1024.4
59,2017-03-01,7.7,14.62,2.43,9.3,1007.4,1015.9
60,2017-03-02,8.2,15.99,2.69,6.6,1003.5,1012
61,2017-03-03,10.8,18.89,2.77,6.7,1010.6,1019.1
62,2017-03-04,9.5,18.54,2.76,9.7,1009.6,1018
63,2017-03-05,0.5,11.67,1.99,10.2,1006.2,1014.6
